FBgn0068806
FBgn0134299
FBgn0134723
FBgn0135451
FBgn0135737
FBgn0136286
FBgn0137536
FBgn0138336
FBgn0138471
FBgn0139069
FBgn0139296
FBgn0139489
FBgn0140088
FBgn0140267
FBgn0140316
FBgn0141675
FBgn0142128
FBgn0142129
FBgn0142179
FBgn0142851
FBgn0142964
FBgn0143571
FBgn0144238
FBgn0145663
FBgn0145729
FBgn0145835
FBgn0146077
FBgn0146410
FBgn0146411
FBgn0146510
FBgn0146631
FBgn0147168
FBgn0147292
FBgn0147319
FBgn0147462
FBgn0012567
FBgn0064059
FBgn0132887
FBgn0132918
FBgn0133229
FBgn0133248
FBgn0133429
FBgn0133646
FBgn0133735
FBgn0133832
FBgn0134449
FBgn0134664
FBgn0135110
FBgn0135162
FBgn0135291
FBgn0135293
FBgn0135424
FBgn0135751
FBgn0135759
FBgn0135940
FBgn0136396
FBgn0136517
FBgn0137352
FBgn0137370
FBgn0137379
FBgn0137550
FBgn0137636
FBgn0137747
FBgn0137757
FBgn0137836
FBgn0138069
FBgn0138311
FBgn0138326
FBgn0138918
FBgn0138920
FBgn0138921
FBgn0139388
FBgn0139805
FBgn0140002
FBgn0140142
FBgn0140191
FBgn0140197
FBgn0140247
FBgn0140261
FBgn0140438
FBgn0140465
FBgn0140503
FBgn0140588
FBgn0140866
FBgn0141413
FBgn0141436
FBgn0141630
FBgn0141643
FBgn0141798
FBgn0141814
FBgn0142021
FBgn0142026
FBgn0142249
FBgn0142279
FBgn0142332
FBgn0142353
FBgn0142374
FBgn0142514
FBgn0142639
FBgn0142679
FBgn0142712
FBgn0142795
FBgn0142965
FBgn0143512
FBgn0143523
FBgn0143637
FBgn0143638
FBgn0143639
FBgn0143677
FBgn0143688
FBgn0143980
FBgn0144022
FBgn0144404
FBgn0145204
FBgn0145301
FBgn0145324
FBgn0145335
FBgn0145346
FBgn0145356
FBgn0145698
FBgn0145801
FBgn0145987
FBgn0146169
FBgn0146434
FBgn0146454
FBgn0146637
FBgn0146687
FBgn0146697
FBgn0146847
FBgn0146886
FBgn0146916
FBgn0147046
FBgn0147062
FBgn0147161
FBgn0147459
FBgn0147502
FBgn0147506
FBgn0147523
FBgn0147586
FBgn0147589
FBgn0253774
FBgn0143363
